#x	my spline	gnuplot's spline
 4.475	0.0476098	0.0476101
 4.500	0.0471210	0.0471213
 4.525	0.0466399	0.0466403
 4.550	0.0461663	0.0461666
 4.575	0.0456997	0.0457
 4.600	0.0452397	0.04524
 4.625	0.0447859	0.0447862
 4.650	0.0443379	0.0443382
 4.675	0.0438954	0.0438957
 4.700	0.0434579	0.0434583
 4.725	0.0430251	0.0430255
 4.750	0.0425966	0.0425969
 4.775	0.0421720	0.0421723
 4.800	0.0417509	0.0417512
 4.825	0.0413329	0.0413332
 4.850	0.0409176	0.0409179
 4.875	0.0405046	0.0405049
 4.900	0.0400936	0.0400939
 4.925	0.0396841	0.0396845
 4.950	0.0392759	0.0392762
 4.975	0.0388683	0.0388687
 5.000	0.0384612	0.0384615
