# Growth rate = 4.0000
# Number of generations	Populations
0.195695	2.121460
0.197652	6.392354
0.199609	10.061686
0.201566	12.041949
0.203523	12.109083
0.205479	8.944044
0.207436	8.438264
0.209393	2.441832
0.211350	5.701299
0.213307	5.610038
0.215264	7.429263
0.217221	4.971085
0.219178	16.131320
0.221135	3.050703
0.223092	4.930926
0.225049	2.795410
0.227006	16.088637
0.228963	5.263621
0.230920	6.172884
0.232877	11.090076
0.234834	4.936772
0.236791	4.626350
0.238748	8.413224
0.240705	8.193510
0.242661	4.672765
0.244618	12.968024
0.246575	3.938166
0.248532	2.363948
0.250489	3.101111
0.252446	8.978971
0.254403	6.503694
0.256360	1.749358
0.258317	9.067893
0.260274	6.516051
0.262231	6.969093
0.264188	8.454429
0.266145	8.772613
0.268102	8.724779
0.270059	1.808943
0.272016	9.273338
0.273973	7.433401
0.275930	7.420276
0.277886	4.102903
0.279843	6.865691
0.281800	13.635670
0.283757	7.471795
0.285714	4.116736
0.287671	3.272334
0.289628	7.878915
0.291585	1.748945
0.293542	1.977889
0.295499	11.728515
0.297456	10.846657
0.299413	3.405404
0.301370	13.123238
0.303327	8.383641
0.305284	15.952780
0.307241	9.721659
0.309198	8.952510
0.311155	3.437403
0.313112	3.730851
0.315068	11.344307
0.317025	9.439214
0.318982	11.537193
0.320939	4.449875
0.322896	3.072134
0.324853	6.661526
0.326810	5.168397
0.328767	6.242581
0.330724	9.243182
0.332681	11.798839
0.334638	15.265139
0.336595	3.499198
0.338552	7.902462
0.340509	8.335973
0.342466	12.224548
0.344423	1.211644
0.346380	2.328194
0.348337	4.824719
0.350294	5.777271
0.352250	6.131328
0.354207	7.401977
0.356164	2.074517
0.358121	7.616599
0.360078	1.215839
0.362035	4.901135
0.363992	1.888461
0.365949	8.111225
0.367906	6.375827
0.369863	7.233879
0.371820	3.721494
0.373777	4.272833
0.375734	6.399494
0.377691	11.373170
0.379648	8.598539
0.381605	10.295584
0.383562	5.855617
0.385519	6.528027
0.387476	3.609499
0.389432	9.520386
0.391389	11.143357
0.393346	2.848335
0.395303	3.276233
0.397260	6.693922
0.399217	1.672012
0.401174	17.113986
0.403131	0.686989
0.405088	4.172674
0.407045	8.050864
0.409002	4.332082
0.410959	6.289360
0.412916	14.347121
0.414873	7.022453
0.416830	10.248033
0.418787	6.930496
0.420744	8.732420
0.422701	6.435042
0.424658	9.874999
0.426614	2.958577
0.428571	5.942980
0.430528	6.705851
0.432485	6.714025
0.434442	13.589708
0.436399	5.606066
0.438356	11.162741
0.440313	1.682224
0.442270	9.091829
0.444227	16.098673
0.446184	2.215023
0.448141	3.739032
0.450098	2.383670
0.452055	9.509055
0.454012	3.298592
0.455969	11.154926
0.457926	12.235894
0.459883	4.941868
0.461840	9.364597
0.463796	7.364250
0.465753	10.791684
0.467710	6.440220
0.469667	7.668274
0.471624	12.654435
0.473581	3.681544
0.475538	14.490659
0.477495	11.694197
0.479452	7.469976
0.481409	6.119536
0.483366	5.655440
0.485323	3.686169
0.487280	12.607944
0.489237	3.252803
0.491194	5.887123
0.493151	12.059078
0.495108	2.492252
0.497065	3.037964
0.499022	7.673985
0.500978	1.934485
